1,The system shall refresh the display every 60 seconds.,Performance
1,The application shall match the color of the schema set forth by Department of Homeland Security,Look and feel
1, If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,Usability
1, The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,Availability
1, If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,Usability
1,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,Security
1,The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,Usability
1,The product shall respond fast to keep up-to-date data in the display.,Performance
1,The system shall have a MDI form that allows for the viewing of the graph and the data table.,Functional Requirement
1,The system shall display Events in a vertical table by time.,Functional Requirement
1,The system shall display the Events in a graph by time.,Functional Requirement
1,The system shall display Events or Activities.,Functional Requirement
1, The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,Functional Requirement
1,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,Functional Requirement
1,The table side of the display shall be split into 2 regions: sequential and temporal.,Functional Requirement
1,The top 1/4 of the table will hold events that are to occur sequentially.,Functional Requirement
1,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,Functional Requirement
1,The system shall color code events according to their variance from current time.,Functional Requirement
1,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,Functional Requirement
1,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,Functional Requirement
1,The system shall allow modification of the display.,Functional Requirement
1,The system shall offer a display of all the Events in the exercise.,Functional Requirement
1,The system shall filter data by: Venues and Key Events.,Functional Requirement
1,The system shall allow a user to define the time segments,Functional Requirement
1,The system shall display the local and exercise time in separate clocks,Functional Requirement
1,The system shall offer the ability to pause and resume the refresh of data.,Functional Requirement
1,The system shall provide charts for the Activity or Event actual versus assumed time.,Functional Requirement
1,The system shall provide a history report of changes made to the Activity or Event data,Functional Requirement
2,The look and feel of the system shall conform to the user interface standards of the smart device.,Look and feel
2, The user interface shall have standard menus  buttons for navigation,Look and feel
2,The system shall have a professional appearance,Look and feel
2,The product shall have a consistent color scheme and fonts.,Look and feel
2,The system shall be used by realtors with no training.,Usability
2,The system shall be intuitive and self explanatory.,Usability
2,The product shall be easy for a realtor to learn.,Usability
2,The product shall use symbols and words that are naturally understandable by the realtor community.,Usability
2,The product shall produce search results in an acceptable time,Performance
2,The search results shall be returned no later 30      seconds  after the user has entered the search criteria,Performance
2,The product shall generate a CMA report in an acceptable time.,Performance
2,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,Performance
2,The product shall synchronize contacts and appointments in an acceptable time.,Performance
2,The product shall synchronize with the office system every hour.,Performance
2, The product shall be available for use 24 hours per day  365 days  per year,Availability
2, Out of 1000 accesses to the system  the system is available 999 times.,Availability
2,The product shall operate in offline mode whenever internet connection is unavailable.,Fault tolerance
2, The product shall allow the user to view previously downloaded search results  CMA reports  and appointments.,Fault tolerance
2,The product shall retain user preferences in the event of a failure.,Fault tolerance
2,100% of saved user preferences shall be restored when system comes back online.,Fault tolerance
2,The product shall be able to support multiple remote users,Security
2,The product shall be able support 1000 simultaneous users.,Security
2,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,Security
2,The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.,Usability
2,90% of untrained realtors shall be able to install the product on their device without printed instructions,Usability
2,The product is expected to run on Windows CE and Palm operating systems.,Portability
2,Only registered realtors shall be able to access the system.,Security
2,Every user of the system shall be authenticated and authorized.,Security
2,The product shall prevent its data from incorrect data being introduced.,Security
2,The system shall allow a real estate agent to query MLS information,Functional Requirement
2,The user shall be able to get driving directions to a selected property,Functional Requirement
2,The user shall be able to download appointments and contact information for clients,Functional Requirement
2,The system shall display clear property images in the search results,Functional Requirement
2,The system shall update or create new property listings in the MLS,Functional Requirement
2,Realtor shall be able to generate a CMA report based on property criteria,Functional Requirement
2,The system shall be able to call the seller or buyer to schedule an appointment,Functional Requirement
2,The realtor shall be notified of new client appointments after automatic synchronization with office system,Functional Requirement
2,The realtor shall be able to retrieve a map showing property locations for a specified area,Functional Requirement
2,The system shall notify the realtor when a seller or buyer responds to an appointment request,Functional Requirement
2,The product shall allow the user to save the property search results.,Functional Requirement
3,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,Usability
3,All of the users shall be able to use the system after one day of training.,Usability
3,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,Usability
3,The number of mistakes noted by the students shall be decreased by 50% in the first year.,Usability
3,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,Usability
3,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,Usability
3,The system shall use symbols and words that are naturally understandable by the user community.,Usability
3,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,Usability
3,Staff members shall be able to complete a set of tasks in a timely manner.,Performance
3,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,Performance
3,The system shall be available for use between the hours of 8am and 6pm.,Availability
3,The system shall achieve 95% up time.,Availability
3,system shall be able to handle all of the user requests/usage during business hours.,Scalability
3,The system shall cater to 10 simultaneous users from 9am to 5pm.,Scalability
3,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,Scalability
3,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,Scalability
3,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,Operational
3,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,Operational
3,The system shall operate within the Windows XP Professional operating system.,Operational
3,The system shall interface with CampusConnect?s central server,Operational
3,The system shall interface with the faculty central server.,Operational
3,The system shall interface with the student master server.,Operational
3,We must be able to interface with any HTML browser.,Operational
3,Only authorized users shall have access to clinical site information.,Security
3,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,Security
3,Only authorized users shall have access to students? personal information.,Security
3,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students? personal information.,Security
3,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,Security
3,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,Security
3,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,Security
3,The system shall protect private information in accordance with the organization?s information policy.,Security
3,The system shall be built such that it is as secure as possible from malicious interference.,Security
3,The system shall use the organization?s standard virus protection software to help monitor threats to itself.,Security
3,A cohort shall be associated to one Program of Study offered by the department.,Functional Requirement
3,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,Functional Requirement
3,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,Functional Requirement
3,Students added to a cohort shall be eligible for the cohort?s Program of Study.,Functional Requirement
3,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,Functional Requirement
3, For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,Functional Requirement
3, For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,Functional Requirement
3,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,Functional Requirement
3,Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,Functional Requirement
3, Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.,Functional Requirement
3,Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,Functional Requirement
3,A class shall be either a non-clinical class or a clinical class.,Functional Requirement
