,query,nfr,nfr_id
8,system shall mdi form allows viewing graph data table,functional requirement,5
9,system shall display event vertical table time,functional requirement,5
10,system shall display event graph time,functional requirement,5
11,system shall display event activity,functional requirement,5
12,display shall two region left 2 3 display graphical right 1 3 display data table,functional requirement,5
13,data displayed node within graph row table msel summary data,functional requirement,5
14,table side display shall split 2 region sequential temporal,functional requirement,5
15,top 1 4 table hold event occur sequentially,functional requirement,5
16,bottom 3 4 table hold event occur according relevance current time,functional requirement,5
17,system shall color code event according variance current time,functional requirement,5
18,system shall display data sync matrix 1 0 exercise management tool 1 0 application,functional requirement,5
19,system shall link event back either sync matrix 1 0 exercise managment tool 1 0 application modification,functional requirement,5
20,system shall allow modification display,functional requirement,5
21,system shall offer display event exercise,functional requirement,5
22,system shall filter data venue key event,functional requirement,5
23,system shall allow user define time segment,functional requirement,5
24,system shall display local exercise time separate clock,functional requirement,5
25,system shall offer ability pause resume refresh data,functional requirement,5
26,system shall provide chart activity event actual versus assumed time,functional requirement,5
27,system shall provide history report change made activity event data,functional requirement,5
57,system shall allow real estate agent query ml information,functional requirement,5
58,user shall able get driving direction selected property,functional requirement,5
59,user shall able download appointment contact information client,functional requirement,5
60,system shall display clear property image search result,functional requirement,5
61,system shall update create new property listing ml,functional requirement,5
62,realtor shall able generate cma report based property criterion,functional requirement,5
63,system shall able call seller buyer schedule appointment,functional requirement,5
64,realtor shall notified new client appointment automatic synchronization office system,functional requirement,5
65,realtor shall able retrieve map showing property location specified area,functional requirement,5
66,system shall notify realtor seller buyer responds appointment request,functional requirement,5
67,product shall allow user save property search result,functional requirement,5
101,cohort shall associated one program study offered department,functional requirement,5
102,program administrator nursing staff member shall able add listing student cohort,functional requirement,5
103,program administrator nursing staff member shall able add single student cohort,functional requirement,5
104,student added cohort shall eligible cohort program study,functional requirement,5
105,program administrator nursing staff member shall able specify preferred sequence class given cohort,functional requirement,5
106,class within sequence cohort program administrator nursing staff member shall able specify quarter class offered,functional requirement,5
107,class within sequence cohort program administrator nursing staff member shall able specify quarter class offered,functional requirement,5
108,program administrator nursing staff member shall able add new class sequence class,functional requirement,5
109,program administrator nursing staff member shall able add clinical class section sequence class,functional requirement,5
110,program administrator nursing staff member shall able add new cohort system identified start month year,functional requirement,5
111,program administrator nursing staff member shall able add new class nursing department system,functional requirement,5
